program_family,country,employment_rate,source
general_studies,Austria,0.904,Eurostat_edat_lfse_24
general_studies,Belgium,0.929,Eurostat_edat_lfse_24
general_studies,Bulgaria,0.919,Eurostat_edat_lfse_24
general_studies,Croatia,0.88,Eurostat_edat_lfse_24
general_studies,Cyprus,0.856,Eurostat_edat_lfse_24
general_studies,Czechia,0.746,Eurostat_edat_lfse_24
general_studies,Denmark,0.89,Eurostat_edat_lfse_24
general_studies,Estonia,0.8809999999999999,Eurostat_edat_lfse_24
general_studies,Finland,0.8859999999999999,Eurostat_edat_lfse_24
general_studies,France,0.8759999999999999,Eurostat_edat_lfse_24
general_studies,Germany,0.9129999999999999,Eurostat_edat_lfse_24
general_studies,Hungary,0.9420000000000001,Eurostat_edat_lfse_24
general_studies,Ireland,0.899,Eurostat_edat_lfse_24
general_studies,Italy,0.805,Eurostat_edat_lfse_24
general_studies,Latvia,0.885,Eurostat_edat_lfse_24
general_studies,Lithuania,0.9059999999999999,Eurostat_edat_lfse_24
general_studies,Luxembourg,0.912,Eurostat_edat_lfse_24
general_studies,Malta,0.94,Eurostat_edat_lfse_24
general_studies,Netherlands,0.932,Eurostat_edat_lfse_24
general_studies,Norway,0.91,Eurostat_edat_lfse_24
general_studies,Poland,0.9229999999999999,Eurostat_edat_lfse_24
general_studies,Portugal,0.892,Eurostat_edat_lfse_24
general_studies,Romania,0.8959999999999999,Eurostat_edat_lfse_24
general_studies,Slovakia,0.887,Eurostat_edat_lfse_24
general_studies,Slovenia,0.907,Eurostat_edat_lfse_24
general_studies,Spain,0.858,Eurostat_edat_lfse_24
general_studies,Sweden,0.9329999999999999,Eurostat_edat_lfse_24
general_studies,Switzerland,0.9159999999999999,Eurostat_edat_lfse_24
