﻿Title:,"Table 1 - Graduate activities by provider and sex"
Subtitle:,"Academic years 2017/18 to 2022/23"
Reference ID:,DT072 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/graduates/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/graduates/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of provider,All 
,Permanent address,All 
,Level of qualification,All 
,Mode of former study,All 
,Sex,All 
,Interim study,Include significant interim study 
,Academic year,2022/23 
Search:,


"UKPRN","Provider Name","Full-time employment","Part-time employment","Unknown pattern of employment","Voluntary or unpaid work","Employmentand further study","Full-time further study","Part-time further study","Unknown pattern of further study","Other including travel, caring for someone or retired","Unemployed","Total with known outcomes","Non-respondents","Total"
"10008397","Norland College","40","5","0","0","0","0","0","0","5","0","55","20","75"
"10007138","The University of Northampton","1,125","230","25","15","185","60","5","0","120","150","1,915","3,130","5,045"
"10020372","Northern Regional College","75","20","0","0","20","10","0","0","15","5","145","360","505"
"10007011","Northampton College","10","10","0","0","5","0","0","0","0","5","30","45","75"
"10001503","The Northern School of Art","45","40","0","0","10","5","0","0","5","5","110","45","155"
"10004772","City College Norwich","60","10","0","0","15","5","0","0","5","5","95","90","185"
"10004577","Nottingham College","40","20","0","0","10","5","0","0","15","10","105","105","210"
"10009614","Grŵp NPTC Group","20","0","0","0","5","0","0","0","0","0","35","35","70"
"10008816","Northern School of Contemporary Dance","15","15","0","0","10","10","0","0","0","5","55","60","120"
"10004740","Northern College of Acupuncture","10","10","0","0","5","0","0","0","5","0","30","15","45"
"10001282","University of Northumbria at Newcastle","2,440","370","25","45","400","125","15","0","180","185","3,785","6,810","10,595"
"10004775","Norwich University of the Arts","220","155","0","5","35","5","5","0","20","30","475","380","855"
"10004579","New College Swindon","65","25","0","0","15","5","0","0","15","10","140","275","410"
"10007154","University of Nottingham","3,065","410","25","45","550","430","25","5","305","315","5,175","7,725","12,900"
"10004797","The Nottingham Trent University","3,150","735","25","75","575","205","20","0","300","325","5,405","6,785","12,185"
"10004718","North Warwickshire and South Leicestershire College","25","15","0","0","0","0","0","0","10","5","60","60","120"
"10020634","North West Regional College","115","40","5","5","25","20","0","0","30","5","245","210","460"
"10004835","Oaklands College","15","0","0","0","5","0","0","0","0","0","20","30","55"
"10006770","The Oldham College","45","20","0","0","15","5","0","0","10","10","110","80","190"
"10007773","The Open University","3,555","785","30","100","840","215","95","0","955","185","6,765","8,290","15,055"
"10004930","Oxford Brookes University","1,630","295","15","30","265","110","15","0","165","165","2,695","3,090","5,785"
"10007774","The University of Oxford","2,095","290","25","50","360","490","25","5","235","125","3,705","5,330","9,030"
"10066143","Paris Dauphine International","5","0","0","0","0","0","0","0","0","0","10","20","30"
"10042570","Pearson College","85","20","0","0","10","5","0","0","5","15","145","120","260"
"10083464","Peking University HSBC Business School UK Campus","0","0","0","0","0","0","0","0","0","0","0","20","20"
"10007063","Truro and Penwith College","50","15","0","5","15","5","0","0","10","5","105","90","195"
"10005072","Peter Symonds College","15","5","0","0","5","0","0","0","0","0","30","25","55"
"10004676","Petroc","20","10","0","0","5","5","0","0","10","5","60","85","140"
"10004028","The Place, London Contemporary Dance School (LCDS)","10","10","0","0","10","5","0","0","0","0","40","40","85"
"10005124","Plumpton College","20","5","0","0","5","0","0","0","0","0","35","35","65"
"10005127","Arts University Plymouth","60","60","0","5","10","0","0","0","10","10","150","100","250"
"10005128","City College Plymouth","75","20","0","5","25","0","0","0","10","5","140","135","275"
"10007801","University of Plymouth","1,480","295","15","30","265","125","10","0","155","105","2,475","3,060","5,535"
"10019178","Point Blank Music School","30","20","0","0","5","0","0","0","5","5","70","90","160"
"10007945","City of Portsmouth College","0","0","0","0","0","0","0","0","0","0","5","0","5"
"10007155","The University of Portsmouth","2,400","435","20","50","400","160","10","0","205","250","3,930","5,175","9,105"
"10005200","Preston College","25","5","0","0","5","0","0","0","5","0","45","55","100"
"10083476","The Prince's Foundation","0","0","0","0","0","0","0","0","0","0","5","5","10"
"10005337","Queen Margaret University, Edinburgh","435","125","5","5","50","10","0","0","40","30","700","690","1,390"
"10007775","Queen Mary University of London","1,855","310","25","45","400","260","15","5","170","310","3,395","7,015","10,415"
"10025197","University Centre Quayside Limited","20","0","0","0","0","0","0","0","0","0","20","15","35"
"10009292","Royal Academy of Dramatic Art","25","10","0","0","0","0","0","0","0","5","40","50","90"
"10005544","Royal Academy of Dance","30","15","0","0","5","0","0","0","5","0","55","25","80"
"10005378","Rambert School","10","15","0","0","0","0","0","0","5","5","40","40","80"
"10005389","Ravensbourne University London","170","120","5","5","25","5","0","0","25","40","400","445","840"
"10005470","Richmond, The American International University in London","20","0","0","5","5","5","0","0","0","5","35","105","140"
"10007802","The University of Reading","1,910","250","10","35","315","155","10","0","125","145","2,960","3,330","6,285"
"10005404","Reaseheath College","45","20","0","0","5","0","0","0","5","5","90","50","140"
"10086591","Regent's University London Limited","50","25","0","0","5","5","0","0","10","10","115","560","675"
"10021100","Regents Theological College","15","5","0","0","5","0","0","0","0","0","25","10","35"
"10023871","Results Consortium Limited","5","0","0","0","5","0","0","0","0","5","15","20","35"
"10062833","Raindance Educational Services Limited","0","5","0","0","0","0","0","0","0","0","5","10","20"
"10008455","Regent College London","160","50","5","5","35","5","5","0","45","25","330","385","715"
"10005469","Richmond upon Thames College","0","0","0","0","0","0","0","0","0","0","0","5","5"
"10002863","Riverside College Halton","35","30","0","5","10","5","0","0","10","5","95","95","195"
"10005534","RNN Group","45","30","0","5","20","5","0","0","10","5","110","100","210"
"10005500","Robert Gordon University","1,120","175","10","10","170","40","5","0","85","65","1,675","2,160","3,835"
"10007776","Roehampton University","755","220","5","25","165","55","5","0","105","130","1,475","3,395","4,865"
"10005523","Rose Bruford College of Theatre and Performance","70","75","5","0","15","0","0","0","10","5","185","170","355"
"10007835","Royal Academy of Music","40","40","0","0","20","15","0","0","5","5","125","185","310"
"10005545","Royal Agricultural University","165","20","0","5","20","10","0","0","15","10","240","175","415"
"10007777","Royal College of Art","175","90","5","5","30","15","0","0","25","35","385","1,040","1,420"
"10007778","Royal College of Music","45","35","0","5","25","10","0","0","10","0","130","210","340"
"10005561","Royal Conservatoire of Scotland","75","65","0","5","25","15","0","0","10","5","200","240","440"
"10007816","The Royal Central School of Speech and Drama","120","90","0","0","20","5","0","0","15","15","270","240","505"
"10005553","Royal Holloway and Bedford New College","1,040","240","10","30","215","150","15","0","95","165","1,960","2,285","4,245"
"10007837","Royal Northern College of Music","40","55","0","0","20","10","0","0","5","5","125","120","245"
"10007779","The Royal Veterinary College","195","20","0","5","15","20","0","0","10","10","280","290","570"
"10007803","The University of St. Andrews","805","90","5","20","140","245","10","5","60","65","1,435","1,950","3,385"
"10007839","SAE Education Limited","65","50","0","5","15","5","0","0","5","10","155","160","315"
"10007782","St George's, University of London","320","35","0","5","60","60","0","0","25","20","525","420","945"
"10008026","St Mary's University College","80","15","0","5","5","5","0","0","5","10","125","145","270"
"10007843","St Mary's University, Twickenham","595","115","5","15","105","35","5","0","70","40","975","1,065","2,040"
"10005032","Salford City College","15","5","0","0","10","0","0","0","0","0","30","55","85"
"10007156","The University of Salford","2,030","495","30","45","315","115","15","5","230","240","3,520","4,760","8,280"
"10021256","The Salvation Army","15","0","0","0","0","0","0","0","0","0","20","5","25"
"10005967","South & City College Birmingham","25","5","0","0","5","5","0","0","5","5","55","70","125"
"10008362","London School of Science and Technology Limited","20","10","0","0","5","0","0","0","10","5","55","105","160"
"10007780","SOAS University of London","350","75","10","20","55","60","5","5","35","60","670","1,300","1,975"
"10005700","SRUC","155","40","0","10","45","25","0","0","20","15","310","295","605"
"10005977","South Devon College","70","20","0","0","15","5","0","0","15","0","125","120","250"
"10005736","Unified Seevic Palmer's College","40","15","0","0","5","0","0","0","10","0","80","105","185"
"10020699","South Eastern Regional College","225","50","5","10","55","15","0","0","45","15","425","415","835"
"10005981","South Essex College of Further and Higher Education","50","20","5","0","5","5","0","0","5","10","100","90","185"
"10036143","South Gloucestershire and Stroud College","20","15","0","0","5","5","0","0","0","0","50","110","160"
"10005790","Sheffield Hallam University","2,895","505","25","35","370","115","10","0","280","200","4,435","6,590","11,025"
"10006020","Southampton City College","0","0","0","0","0","0","0","0","0","0","0","65","65"
"10005788","The Sheffield College","20","25","0","5","15","5","0","0","10","10","85","105","185"
"10007157","The University of Sheffield","2,315","265","20","25","365","280","20","0","190","220","3,695","8,040","11,735"
"10023458","The Sherwood Psychotherapy Training Institute Limited","15","20","0","0","5","0","0","0","0","0","45","20","65"
"10005822","Shrewsbury Colleges Group","20","5","0","0","5","0","0","0","0","0","30","25","60"
"10006022","Solent University","640","170","5","15","110","40","5","0","65","85","1,140","1,620","2,765"
"10005946","Solihull College and University Centre","70","10","0","0","20","5","0","0","5","5","115","90","205"
"10020633","Southern Regional College","170","40","0","5","50","5","10","0","20","5","310","245","555"
"10007158","The University of Southampton","1,910","215","15","25","270","210","10","0","135","180","2,975","6,685","9,660"
"10006050","Sparsholt College","60","20","0","5","10","0","0","0","5","5","105","85","190"
"10006093","Spurgeon's College","15","5","0","5","0","0","5","0","0","0","35","15","50"
"10004603","Newcastle and Stafford Colleges Group","25","20","0","0","10","5","0","0","5","5","70","85","155"
"10006299","Staffordshire University","1,625","350","15","20","255","50","10","0","155","115","2,600","3,150","5,745"
"10008098","Study Group","15","20","0","0","5","25","5","0","30","35","130","1,875","2,010"
"10003674","South Thames Colleges Group","35","20","0","0","10","5","0","0","10","5","85","100","185"
"10006174","St Helens College","35","15","0","0","5","0","0","0","10","0","70","80","145"
"10007804","The University of Stirling","865","175","5","30","160","100","0","0","85","100","1,520","2,000","3,520"
"10037449","University of St Mark and St John","315","110","5","10","50","15","0","0","20","15","535","500","1,035"
"10008010","Stranmillis University College","130","30","0","0","20","15","0","0","15","10","220","180","400"
"10007805","The University of Strathclyde","2,335","305","10","25","305","170","10","0","205","190","3,550","4,575","8,130"
"10006378","Strode College","5","5","0","0","0","0","0","0","5","0","15","20","35"
"10014001","University of Suffolk","400","130","5","5","90","15","5","0","100","45","795","950","1,745"
"10001475","City of Sunderland College","60","20","0","5","25","10","0","0","15","20","160","195","355"
"10007159","The University of Sunderland","1,650","385","40","25","290","70","15","0","265","195","2,930","4,685","7,615"
"10007160","The University of Surrey","1,335","230","10","25","250","125","5","0","100","125","2,210","3,295","5,510"
"10007806","The University of Sussex","1,560","260","10","30","255","145","20","0","125","185","2,590","4,700","7,290"
"10020685","South West College","130","30","0","5","45","10","5","0","20","10","255","280","535"
"10007855","Swansea University","1,840","305","15","30","355","315","15","0","175","195","3,250","4,250","7,500"
"10006494","Tameside College","20","5","0","0","5","0","0","0","0","0","40","40","80"
"10007161","Teesside University","1,840","370","25","20","290","70","15","0","175","175","2,985","5,455","8,440"
"10006549","Telford College","5","0","0","0","5","0","0","0","0","0","15","10","25"
"10082743","ThinkSpace Education Limited","5","5","0","0","0","0","0","0","5","0","15","15","30"
"10005998","The Trafford College Group","40","10","0","0","10","5","0","0","10","0","75","105","185"
"10008017","Trinity Laban Conservatoire of Music and Dance","65","60","0","5","25","10","0","0","5","10","185","200","385"
"10007858","University of Wales Trinity Saint David","905","255","20","30","200","85","10","0","240","95","1,840","2,230","4,070"
"10005999","Tyne Coast College","110","20","5","0","20","25","5","0","25","35","255","430","680"
"10068157","University Centre Peterborough","50","30","0","0","15","10","5","0","10","5","130","155","285"
"10007114","University of the Highlands and Islands","680","260","10","20","180","65","10","0","100","25","1,350","1,055","2,405"
"10007807","Ulster University","2,435","380","40","30","290","150","15","0","240","160","3,745","6,485","10,230"
"10039956","The University of Law","675","70","0","10","125","55","5","0","70","75","1,095","1,955","3,050"
"10001476","United Colleges Group","20","5","0","0","5","5","0","0","10","0","45","35","80"
"10007784","University College London","3,725","460","45","60","500","610","35","5","270","335","6,045","14,460","20,505"
"10007793","University of South Wales","1,680","470","25","45","340","95","10","0","180","175","3,020","4,780","7,800"
"10007315","Walsall College","20","20","0","0","15","5","0","0","5","5","75","75","150"
"10007163","The University of Warwick","2,500","285","30","50","440","445","25","5","180","230","4,180","7,595","11,780"
"10007859","Warwickshire College","75","25","0","5","5","5","0","0","0","0","115","120","235"
"10007361","Waverley Abbey College","5","15","0","0","10","0","0","0","5","0","35","20","55"
"10007339","Warrington & Vale Royal College","25","5","0","0","5","5","0","0","5","5","50","45","95"
"10007164","University of the West of England, Bristol","3,170","585","30","40","465","130","15","0","265","270","4,975","7,225","12,200"
"10007800","The University of the West of Scotland","955","230","20","15","155","55","5","5","125","120","1,685","3,590","5,280"
"10032288","West Dean College","30","20","0","0","0","5","0","0","10","0","65","85","150"
"10006566","The University of West London","805","230","10","25","135","55","10","0","110","135","1,510","2,390","3,900"
"10007431","West Suffolk College","30","5","0","0","10","0","0","0","0","0","45","40","90"
"10007459","Weston College of Further and Higher Education","45","10","0","0","15","0","0","0","5","5","85","110","195"
"10007165","The University of Westminster","1,395","340","20","30","225","105","15","0","160","265","2,560","5,245","7,805"
"10007469","Weymouth College","15","10","0","0","5","0","0","0","0","0","35","25","60"
"10007417","West Herts College","5","10","0","0","0","0","0","0","0","5","20","25","45"
"10007527","Wiltshire College and University Centre","25","5","0","0","5","0","0","0","5","5","40","45","85"
"10003614","The University of Winchester","880","210","5","10","140","65","5","0","70","70","1,455","1,340","2,795"
"10002107","The Windsor Forest Colleges Group","15","5","0","0","0","0","0","0","5","0","25","15","45"
"10007553","Wirral Metropolitan College","10","10","0","0","5","5","0","0","5","0","30","40","75"
"10007455","The WKCIC Group","15","10","0","0","5","0","0","0","5","0","40","45","85"
"10007578","City of Wolverhampton College","5","0","0","0","0","0","0","0","0","0","10","20","30"
"10007166","The University of Wolverhampton","1,225","280","15","30","205","75","10","0","170","150","2,160","2,260","4,420"
"10007139","University of Worcester","845","200","15","20","170","80","5","0","70","50","1,450","1,595","3,050"
"10007657","Writtle University College","70","30","0","0","20","5","0","0","0","5","135","85","215"
"10007434","West Thames College","5","5","0","0","0","5","0","0","5","5","25","20","45"
"10007696","Yeovil College","25","5","0","0","5","5","0","0","0","5","45","45","90"
"10007713","York St John University","645","145","5","15","110","40","10","0","55","45","1,065","1,460","2,525"
"10007709","York College","20","10","0","0","5","5","0","0","5","0","45","55","100"
"10007167","The University of York","1,795","295","10","45","385","260","20","0","160","190","3,155","5,405","8,560"
"","Total","209,505","41,025","2,365","4,080","36,720","19,265","1,680","165","22,135","21,100","358,045","559,570","917,610"
