﻿Title:,"Table 1 - Graduate activities by provider and sex"
Subtitle:,"Academic years 2017/18 to 2022/23"
Reference ID:,DT072 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/graduates/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/graduates/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of provider,All 
,Permanent address,All 
,Level of qualification,All 
,Mode of former study,All 
,Sex,All 
,Interim study,Include significant interim study 
,Academic year,2022/23 
Search:,


"UKPRN","Provider Name","Full-time employment","Part-time employment","Unknown pattern of employment","Voluntary or unpaid work","Employmentand further study","Full-time further study","Part-time further study","Unknown pattern of further study","Other including travel, caring for someone or retired","Unemployed","Total with known outcomes","Non-respondents","Total"
"10000961","Brunel University London","920","170","20","20","180","85","5","0","100","150","1,655","3,305","4,960"
"10000975","Buckinghamshire New University","1,195","280","20","30","235","55","10","0","210","145","2,175","2,890","5,065"
"10007787","The University of Buckingham","380","40","5","0","80","25","0","0","30","20","575","850","1,425"
"10001004","Burton and South Derbyshire College","5","5","0","0","0","0","0","0","0","0","10","5","20"
"10001000","Burnley College","70","15","0","0","15","5","0","0","10","5","120","85","205"
"10001005","Bury College","15","15","0","0","5","5","0","0","10","0","50","60","105"
"10001093","Calderdale College","15","10","0","0","5","0","0","0","5","5","40","55","95"
"10010308","Cambridge Arts and Sciences Limited","5","5","0","0","0","5","0","0","0","0","15","60","75"
"10001116","Cambridge Regional College","25","10","0","0","5","0","0","0","5","0","50","55","105"
"10007788","The University of Cambridge","1,900","225","10","25","335","450","10","5","215","140","3,315","5,045","8,360"
"10032072","The Cambridge Theological Federation","15","5","0","0","5","0","0","0","5","0","30","10","40"
"10003324","The Institute of Cancer Research","10","0","0","0","0","0","0","0","0","0","15","25","35"
"10001143","Canterbury Christ Church University","1,170","270","15","15","230","50","10","0","125","95","1,975","2,115","4,090"
"10001165","Cardinal Newman Catholic Sixth Form College","10","0","0","0","5","0","0","0","0","0","15","25","35"
"10007814","Cardiff University","2,675","365","30","30","450","305","15","0","230","235","4,330","6,530","10,860"
"10007854","Cardiff Metropolitan University","920","200","15","25","140","60","10","0","90","85","1,545","2,895","4,445"
"10057213","CEG UFP Limited","10","15","0","0","0","5","0","0","10","10","50","485","535"
"10001264","Central School of Ballet","10","5","0","0","0","5","0","0","5","5","30","40","65"
"10007141","The University of Central Lancashire","1,825","380","20","35","335","95","20","0","240","165","3,115","5,180","8,295"
"10024024","Central Film School London","5","10","0","0","0","0","0","0","0","0","15","25","45"
"10001378","Chesterfield College","30","10","0","0","10","0","0","0","5","5","60","100","155"
"10007848","University of Chester","1,170","240","10","30","200","75","10","0","120","85","1,935","2,875","4,810"
"10007817","Chichester College Group","80","35","5","5","10","5","0","0","10","5","155","150","305"
"10007137","The University of Chichester","540","165","10","15","80","30","5","0","45","35","920","885","1,800"
"10001386","Chicken Shed Theatre Company","0","0","0","0","0","0","0","0","0","0","0","20","20"
"10001546","The College of Integrated Chinese Medicine","5","5","0","0","5","0","0","0","0","0","15","10","25"
"10026921","Christ the Redeemer College","5","5","0","0","0","0","0","0","5","0","20","35","55"
"10005972","Cheshire College South and West","25","10","0","0","5","0","0","0","5","0","50","50","95"
"10010213","The City College","15","15","0","0","5","0","0","0","5","0","45","15","60"
"10001478","City, University of London","1,455","245","20","35","260","145","20","0","145","160","2,485","4,370","6,855"
"10001535","Colchester Institute","50","10","0","0","10","5","0","0","5","5","90","60","150"
"10007912","Cliff College","15","10","0","0","0","0","0","0","0","0","30","10","35"
"10003955","The City of Liverpool College","60","20","0","0","25","10","0","0","10","10","135","145","280"
"10066502","The College of Health Ltd","15","10","0","0","10","0","0","0","0","0","35","40","75"
"10081618","The Council of the Inns of Court","35","5","0","0","0","0","0","0","5","0","50","45","90"
