"Employment outcomes (FTE, OE, LF, SAL), 2022-2024 among postgraduate coursework students from non-university higher education institutes (NUHEIs) by institution",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,The MIECAT Institute,"83.3 (70.9, 90.2)","97.8 (91.4, 99.0)","95.8 (89.1, 97.7)",
,UOW College,,,,
,UTS College,,,,
,VIT (Victorian Institute of Technology),,,,
,Wentworth Institute of Higher Education,,,,
,"Whitehouse Institute of Design, Australia",,,,
,William Angliss Institute,,,,
,All NUHEIs,"91.8 (91.4, 92.2)","93.8 (93.5, 94.1)","95.2 (94.9, 95.4)","93,000 (91,700, 94,300)"
,Standard deviation,20.2,14.5,5.4,"23,500"
,,,,,
Column variables:,,,,,
AVAILEMP,,,,,
AVAILFT,,,,,
FULLEMP,,,,,
GENEMP,,,,,
SALARYA,,,,,
TRIMSAL_ALL,,,,,
YEAR,,,,,
,,,,,
Column filters:,,,,,
OE: AVAILEMP = 1,,,,,
FTE: AVAILFT = 1,,,,,
"SAL: FULLEMP = 1, TRIMSAL_ALL = 1",,,,,
,,,,,
Column notes:,,,,,
The Agresti-Coull method is used to calculate 90% confidence intervals for proportions.,,,,,
Estimates and confidence intervals (CIs) may become unreliable for very small sample sizes and proportions close to 0% or 100%.,,,,,
CIs are not displayed when estimates are 0% or 100% or fall outside the CI range. Exercise caution when reporting and comparing proportions in these cases.,,,,,
Bootstrapping on the median is used to estimate 90% confidence intervals for median salary.,,,,,
"Data for all columns is filtered to: ANALYSIS = 1, Postgraduate coursework: LEVEL = 2, NUHEI: HEPTYPE = 2, e942 = 0",,,,,
,,,,,
Row variables:,,,,,
E306,,,,,
,,,,,
Row notes:,,,,,
"* The Australian University of Theology was awarded university status in December 2024. Prior to this, the institution was known as the Australian College of Theology and was classified as a non-university higher education institution (NUHEI). Data for the 2024 GOS was collected when the institution was a NUHEI.",,,,,
