"Employment outcomes (FTE, OE, LF, SAL), 2022-2024 among undergraduates from non-university higher education institutes (NUHEIs) by institution",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,"Whitehouse Institute of Design, Australia","53.6 (45.8, 61.1)","76.0 (69.4, 81.2)","94.3 (89.9, 96.5)","63,000 (58,700, 67,300)"
,William Angliss Institute,"74.3 (62.3, 82.8)","88.4 (79.2, 93.0)","93.5 (85.6, 96.5)",
,All NUHEIs,"64.9 (63.7, 66.1)","82.1 (81.3, 82.8)","89.6 (89.0, 90.1)","65,200 (64,000, 66,500)"
,Standard deviation,20.7,10.8,7.4,"14,700"
,,,,,
Column variables:,,,,,
AVAILEMP,,,,,
AVAILFT,,,,,
FULLEMP,,,,,
GENEMP,,,,,
SALARYA,,,,,
TRIMSAL_ALL,,,,,
YEAR,,,,,
,,,,,
Column filters:,,,,,
OE: AVAILEMP = 1,,,,,
FTE: AVAILFT = 1,,,,,
"SAL: FULLEMP = 1, TRIMSAL_ALL = 1",,,,,
,,,,,
Column notes:,,,,,
The Agresti-Coull method is used to calculate 90% confidence intervals for proportions.,,,,,
Estimates and confidence intervals (CIs) may become unreliable for very small sample sizes and proportions close to 0% or 100%.,,,,,
CIs are not displayed when estimates are 0% or 100% or fall outside the CI range. Exercise caution when reporting and comparing proportions in these cases.,,,,,
Bootstrapping on the median is used to estimate 90% confidence intervals for median salary.,,,,,
"Data for all columns is filtered to: ANALYSIS = 1, Undergraduate: LEVEL = 1, NUHEI: HEPTYPE = 2, e942 = 0",,,,,
,,,,,
Row variables:,,,,,
E306,,,,,
,,,,,
Row notes:,,,,,
"* The Australian University of Theology was awarded university status in December 2024. Prior to this, the institution was known as the Australian College of Theology and was classified as a non-university higher education institution (NUHEI). Data for the 2024 GOS was collected when the institution was a NUHEI.",,,,,
