"Employment outcomes (FTE, OE, LF, SAL), 2022-2024 among postgraduate research students from universities by institution",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
"SAL: FULLEMP = 1, TRIMSAL_ALL = 1",,,,,
,,,,,
Column notes:,,,,,
The Agresti-Coull method is used to calculate 90% confidence intervals for proportions.,,,,,
Estimates and confidence intervals (CIs) may become unreliable for very small sample sizes and proportions close to 0% or 100%.,,,,,
CIs are not displayed when estimates are 0% or 100% or fall outside the CI range. Exercise caution when reporting and comparing proportions in these cases.,,,,,
Bootstrapping on the median is used to estimate 90% confidence intervals for median salary.,,,,,
"Data for all columns is filtered to: ANALYSIS = 1, Postgraduate research: LEVEL = 3, University: HEPTYPE = 1, e942 = 0",,,,,
,,,,,
Row variables:,,,,,
E306,,,,,
